x	y	elev
220	260	469.466
240	260	457.263
260	260	440.665
280	260	439.601
300	260	437.144
320	260	423.449
340	260	435.593
360	260	444.242
380	260	440.46
400	260	442.885
420	260	448.142
440	260	463.889
460	260	478.493
480	260	492.216
500	260	505.573
0	280	518.329
20	280	520.593
40	280	517.595
60	280	501.509
80	280	507.726
100	280	514.556
120	280	522.704
140	280	514.014
160	280	501.785
180	280	490.412
200	280	486.79
220	280	479.596
240	280	460.926
260	280	452.613
280	280	453.83
300	280	448.015
320	280	434.171
340	280	447.336
360	280	455.877
380	280	453.903
400	280	458.166
420	280	463.618
440	280	465.923
460	280	480.404
480	280	493.712
500	280	507.172
0	300	534.633
20	300	535.972
40	300	526.267
60	300	513.278
80	300	519.022
100	300	530.19
120	300	541.094
140	300	529.69
160	300	517.81
180	300	507.315
200	300	498.011
220	300	483.441
240	300	472.177
260	300	470.775
280	300	466.063
300	300	455.92
320	300	451.326
340	300	458.661
360	300	467.055
380	300	465.65
400	300	469.6
420	300	474.879
440	300	476.791
460	300	485.029
480	300	496.133
500	300	509.016
0	320	551.578
20	320	548.323
40	320	535.479
60	320	523.662
80	320	527.93
100	320	542.259
120	320	553.915
140	320	544.438
160	320	530.993
180	320	519.834
200	320	502.8
220	320	492.04
240	320	481.281
260	320	486.561
280	320	477.017
300	320	460.815
320	320	469.277
340	320	471.54
360	320	478.043
380	320	477.485
400	320	482.077
420	320	490.583
440	320	489.157
460	320	490.681
480	320	501.316
500	320	512.612
0	340	571.573
20	340	561.32
40	340	550.188
60	340	537.891
80	340	542.306
100	340	549.09
120	340	568.225
140	340	559.925
160	340	549.475
180	340	529.683
200	340	514.031
220	340	502.898
240	340	497.965
260	340	499.612
280	340	489.144
300	340	477.956
320	340	484.595
340	340	485.526
360	340	490.835
380	340	489.521
400	340	494.236
420	340	503.566
440	340	498.762
460	340	498.32
480	340	504.625
500	340	513.385
0	360	587.984
20	360	576.508
40	360	556.612
60	360	556.664
80	360	559.396
100	360	556.639
120	360	572.283
140	360	573.197
160	360	557.877
180	360	541.678
200	360	525.129
220	360	513.519
240	360	512.971
260	360	512.871
280	360	498.83
300	360	496.906
320	360	499.754
340	360	500.426
360	360	504.613
380	360	502.552
400	360	505.559
420	360	513.615
440	360	508.984
460	360	507.412
480	360	510.846
500	360	517.318
0	380	593.514
20	380	586.005
40	380	560.068
60	380	569.027
80	380	576.829
100	380	571.31
120	380	580.645
140	380	583.677
160	380	569.171
200	380	532.01
220	380	522.322
240	380	524.459
260	380	526.942
280	380	509.952
300	380	506.754
320	380	511.014
340	380	511.155
360	380	515.888
380	380	513.25
400	380	513.312
420	380	522.644
440	380	517.672
460	380	515.712
480	380	519.747
500	380	524.813
180	380	545.84
0	400	602.892
20	400	583.991
40	400	578.975
60	400	586.558
80	400	590.492
100	400	584.081
120	400	592.66
140	400	583.577
160	400	570.561
180	400	556.818
200	400	543.075
220	400	537.495
240	400	540.545
260	400	537.469
280	400	525.189
300	400	521.059
320	400	524.83
340	400	526.294
360	400	528.679
380	400	525.942
400	400	523.061
420	400	525.974
440	400	523.409
460	400	529.7
480	400	532.107
500	400	532.425
