"gx","gy","M3Al"
629,290,678.2
630,329,686.1
629,370,1086.7
629,410,716.7
629,450,788.2
629,490,836.8
644,30,549.2
649,70,797.7
649,110,169
649,150,927.8
649,190,727.7
649,230,984.9
649,270,1029
649,310,741.4
649,350,731.4
649,390,985.2
649,430,1051.4
649,470,557.7
669,10,769.9
669,50,929.1
669,90,1028.9
669,130,945.4
669,170,1408.5
669,210,917.4
669,250,1318.2
669,290,896.6
669,330,1371.2
669,370,684.4
669,410,1325.7
669,450,785.1
669,490,611.5
689,30,471.5
689,70,987.2
689,110,646.2
689,150,595.2
689,190,447.7
689,230,740
689,270,1038.4
689,310,449.5
689,350,710.9
689,390,1000.3
689,430,1020.9
689,470,1080
709,10,721.3
709,50,874.6
710,91,721.4
709,130,966.8
709,170,694.4
709,210,928.1
709,250,984
709,290,762.5
709,330,912.7
709,370,597.6
709,410,922.5
704,450,625.3
709,490,676
729,30,447.6
729,70,771.9
729,110,807.5
729,150,561.8
729,190,572.1
729,230,768.6
729,270,635.1
729,310,1186.7
729,350,811.4
729,390,1181.6
729,430,1029.2
729,470,717.2
749,10,738.3
749,50,696.5
749,90,574.8
749,130,991.2
749,170,913.9
749,210,706.4
750,251,542
749,290,617.8
749,330,927.3
749,370,831.6
749,410,818.8
749,450,1062.9
750,491,552
769,30,613.1
769,70,597.9
769,110,602.9
769,150,870.2
769,190,503.4
769,230,565.5
769,270,1007.2
769,310,573.6
769,350,621.2
769,390,909.8
769,430,1112.4
769,470,927.8
785,11,413.7
789,50,267
789,90,516.6
789,130,618.1
789,170,669
789,210,772.3
789,250,1095.5
789,290,875.1
789,330,888.4
789,370,715.7
789,410,989.5
789,450,1114.1
789,490,676.7
809,30,736.3
809,70,499.8
809,110,429.9
809,150,334.9
809,190,677
809,230,541.3
809,270,778.7
809,310,906.1
809,350,656.9
809,390,799.8
809,430,735.2
810,471,607.3
829,10,668.8
829,50,820.8
829,90,825.6
829,130,1006.4
829,170,646.9
829,210,693.1
829,250,882.6
829,290,631.1
829,330,626.3
829,370,750.4
829,410,484
824,450,516.8
830,491,337.9
849,30,528.3
849,70,915.8
849,110,615
849,150,329.4
849,190,599.2
849,230,495.5
849,270,406.9
